Strategy,UnderwaterStart,Trough,Recovery,EpisodeMDD,MonthsToTrough,NetReturnToTrough,TotalCostToTrough,KODEX200_Contribution,BOND_Contribution,GLD_Contribution,USO_Contribution,StockBondCorrelation,AverageCrashPressure,AveragePortfolioPressure
Stage14_StaticLambda,2012-10,2014-10,2019-08,-0.23192082950151394,25,-0.23192082950151438,0.0003587718709268562,-0.015444947834789802,0.0014635491997864324,-0.23688634694394692,2.6006476697264892e-18,0.05803526667676514,,
Stage14_StaticLambda,2026-06,2026-07,ongoing,-0.15897950027508956,2,-0.15897950027508956,0.00044413165016555015,-0.09524740295701214,-0.0005035238799878717,-0.06534128796746093,-2.7556655127719414e-18,-1.0,,
Stage14_StaticLambda,2008-07,2008-10,2008-12,-0.12091036584542936,4,-0.12091036584542936,0.002023521837873266,-0.022345006285381455,0.006098779146882836,-0.04225333776759761,-0.05797511389089201,-0.6504373097830235,,
Stage14_StaticLambda,2009-03,2009-04,2009-11,-0.11102562130058491,2,-0.11102562130058491,0.00020097886455934232,1.461426933309351e-07,0.010940841553359535,-0.1249580870018801,-1.264263916576361e-19,-1.0,,
Stage14_StaticLambda,2026-03,2026-03,2026-04,-0.097731321258133,1,-0.097731321258133,4.57107105602646e-05,-0.06623293777107928,-0.0006258288723248957,-0.03082684390416857,0.0,,,
Stage26_EquityConflictVeto,2012-10,2013-06,2017-05,-0.16363130711555718,9,-0.1636313071155573,0.0015060436972556014,-0.04927910024501556,-0.0005662004111389885,-0.1220760277370617,6.295549598106173e-21,0.15268877599730127,,
Stage26_EquityConflictVeto,2026-06,2026-07,ongoing,-0.11437670448462067,2,-0.11437670448462067,0.00024865947825831964,-0.06015806229129709,-0.0013546530752628664,-0.05404061635245803,-0.0005517308484325664,-1.0,,
Stage26_EquityConflictVeto,2008-07,2008-10,2008-12,-0.09736406259172803,4,-0.09736406259172803,0.0019462628881802377,-0.010428190918688691,0.011287612507321312,-0.04398828209766965,-0.053140367289819856,-0.6504373097830235,,
Stage26_EquityConflictVeto,2018-02,2018-10,2019-08,-0.09073398407428712,9,-0.09073398407428734,3.5491046652071226e-08,-0.09351715639132785,0.008409971295254063,-0.008495318613830228,1.3581947545340943e-17,-0.1724107816006767,,
Stage26_EquityConflictVeto,2009-03,2009-04,2009-11,-0.07523698355881903,2,-0.07523698355881903,0.0001617147218256247,6.854378661403209e-19,0.013496395730458969,-0.08999461351959975,-1.7502867492079458e-19,-1.0,,
